,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
0,,,盈星,,,巴西,,2022.01.06,,,,,,,30.0,kg,沙2,
1,,牛腩,盈星,BEEF,,巴西,,2022.01.06,,,,,,,12.5,kg,沙2,
2,MATABOI 牛腩,牛腩,盈星,BEEF,,巴西,BOI BRASIL,2022.01.06,,,,,,,12.5,kg,沙2,
3, 牛腩,牛腩,盈星,BEEF,,巴西,MINERVA,2022.01.06,,,,,,,12.4,kg,沙2,
4, 牛腩P4060,牛腩,盈星,BEEF,,巴西,PLENA,2022.01.06,,,,,,,12.6,kg,沙2,
5, 牛腩P4413,牛腩,盈星,BEEF,,巴西,QUALITY BEEF,2022.01.06,,,,,,,13.7,kg,沙2,
6,,牛肋條,盈星,BEEF,,巴西,,2022.01.06,,,,,,,21.3,kg,沙2,
7, 牛肋條,牛肋條,盈星,BEEF,,巴西,ANGLO,2022.01.06,,,,,,,20.3,kg,沙2,
8, 牛肋條P431,牛肋條,盈星,BEEF,,巴西,MINERVA,2022.01.06,,,,,,,20.8,kg,沙2,
9, 牛肋條(不分廠),牛肋條,盈星,BEEF,,巴西,MINERVA,2022.01.06,,,,,,,20.5,kg,沙2,
10,,牛肋條,盈星,BEEF,,巴西,,2022.01.06,,,,,,,20.5,kg,沙2,
11, 金錢展,金錢𦟌,盈星,BEEF,,巴西,ANGLO,2022.01.06,,,,,,,34.5,kg,沙2,
11, 金錢展,金錢𦟌,盈星,BEEF,,巴西,ANGLO,2022.01.06,,,,,,,34.5,kg,其士,
12,,金錢𦟌,盈星,BEEF,,巴西,,2022.01.06,,,,,,,48.5,kg,沙2,
13, 金錢展P431,金錢𦟌,盈星,BEEF,,巴西,MINERVA,2022.01.06,,,,,,,37.5,kg,沙2,
14, 金錢展P1940,金錢𦟌,盈星,BEEF,,巴西,MINERVA,2022.01.06,,,,,,,37.0,kg,沙2,
15, 金錢展(不分廠),金錢𦟌,盈星,BEEF,,巴西,MINERVA,2022.01.06,,,,,,,36.5,kg,沙2,
16,,牛柳頭,盈星,BEEF,,巴西,,2022.01.06,,,,,,,39.8,kg,沙2,
17,,牛仔扒,盈星,BEEF,,巴西,,2022.01.06,,,,,,,22.5,kg,沙2,
18,MASTERBOI 牛頭肉P2437/860,,盈星,,,巴西,BOI BRASIL,2022.01.06,,,,,,,9.0,kg,沙2,
19,,,盈星,,,巴西,,2022.01.06,,,,,,,23.0,kg,沙2,
20, 原色金錢肚,,盈星,,,巴西,MINERVA,2022.01.06,,,,,,,22.8,kg,沙2,
21,,,盈星,,,巴西,,2022.01.06,,,,,,,22.7,kg,沙2,
22,,牛骨髓,盈星,BEEF,,巴西,,2022.01.06,,,,,,,37.0,kg,沙2,
23,,,盈星,,,阿根廷,,2022.01.06,,,,,,,8.2,kg,沙2,
24, 牛冧4K+,牛冧,盈星,BEEF,,巴西,ANGLO,2022.01.06,4K+,,,,,,18.5,kg,沙2,
25,,牛冧,盈星,BEEF,,巴西,,2022.01.06,4K+,,,,,,19.5,kg,沙2,
26, 安格斯牛小排CAB P245L,去骨牛小排,盈星,BEEF,,美國,IBP,2022.01.06,245L廠,CAB,,,,,121.0,kg,其士,
27,,西冷,盈星,BEEF,,巴西,,2022.01.06,4K+,,,,,,30.3,kg,沙2,
28, 西冷4K+ P1940,西冷,盈星,BEEF,,巴西,MINERVA,2022.01.06,4K+,,,,,,31.3,kg,沙2,
29, 牛尾P1940,牛尾,盈星,BEEF,,巴西,MINERVA,2022.01.06,,,,,,,13.0,kg,沙2,
